Sub_W,Sub_L,Sub_H,Patch_W,Patch_L,Feed_W,Slot1_W,Slot1_L,Slot2_W,Slot2_L,Freq_GHz,Gain,Directivity,S11(dB),Rad_eff,Total_eff,VSWR
6.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,30,6.6921277,7.7587501,-1.3488107,0.78223592,0.21067617,12.905203
6.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,36,6.1676012,6.7526254,-5.3184013,0.87397213,0.60552685,3.3677723
6.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,37,6.447589,6.9466602,-10.763398,0.89144156,0.81310596,1.8153987
6.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,38,6.6585517,7.0341566,-6.0348932,0.91714817,0.70166663,2.9934338
6.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,40,6.3686213,6.7218093,-2.0627069,0.92189444,0.35277298,8.4613796
6.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,42,4.793181,5.4312351,-1.2941604,0.8633653,0.22447259,13.44803
6.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,46,-0.21265589,0.77649105,-2.1012368,0.79631575,0.299382,8.3076855
6.9,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,50,-1.0077452,-0.47540886,-7.9604357,0.88463958,0.7473249,2.332915
7.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,1,-43.737504,-15.70734,-2.2052871,0.000210805,8.35E-05,7.9196032
7.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,2,-32.412925,-14.810342,-0.54222225,0.017367674,0.0021148657,7.9196032
7.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,4,45.09279,-7.1432387,0.061520685,167341.2,0.001673412,1
7.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,6,-13.364086,-2.5398095,-0.045341906,0.082712731,0.0011975214,383.1301
7.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,10,-14.385924,0.34749871,-0.17319334,0.033624649,0.0013187819,100.30599
7.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,12,-12.841894,0.85524929,-0.17194116,0.042686018,0.0016265313,101.03652
7.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,26,6.8114638,7.6434961,-0.8943588,0.8256515,0.15306579,19.440885
7.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,28,6.9037852,8.0119453,-29.175827,0.77478997,0.77245414,1.0720457
7.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,30,6.7253919,7.7595506,-1.3308209,0.78810509,0.20984884,13.078958
7.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,36,6.2729404,6.8315464,-6.1061945,0.87930472,0.65247003,2.9611566
7.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,37,6.5098138,6.9707372,-11.936095,0.89930635,0.83900629,1.6775322
7.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,38,6.6667791,7.0259645,-6.2266538,0.92062224,0.71432915,2.9083735
7.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,40,6.3486983,6.6882156,-2.1260654,0.92480095,0.3622665,8.2116134
7.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,42,4.7784895,5.4002641,-1.3116654,0.8666077,0.22788356,13.269224
7.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,46,-0.19045952,0.76733885,-2.1039703,0.80208457,0.3017938,8.296998
7.1,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,50,-0.9819344,-0.44850705,-7.9791784,0.88441737,0.74777082,2.328134
7.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,1,-43.60674,-17.063344,-2.201943,0.000215965,8.54E-05,7.9315018
7.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,2,-32.492317,-14.85555,-0.53966888,0.017231509,0.002089083,32.20006
7.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,4,45.136301,-7.2564318,0.061970815,173489.52,0.0017348952,1
7.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,6,-13.343646,-2.6732712,-0.045419263,0.085696395,0.001242834,382.47743
7.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,10,-14.393243,0.26921638,-0.173406,0.034178587,0.0013420862,100.18304
7.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,12,-12.861242,0.78884245,-0.17211481,0.043151064,0.0016458463,100.93465
7.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,26,6.8478196,7.6804258,-0.88582113,0.82554238,0.15178998,19.627922
7.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,28,6.9414039,8.052885,-29.542169,0.77419772,0.77186311,1.0689676
7.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,30,6.7392602,7.7569245,-1.3215665,0.79110399,0.20937,13.170188
7.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,36,6.3328427,6.8622111,-6.4682614,0.88524434,0.67489555,2.8086775
7.3,6,0.23,5.4,3.5,0.7,0.35,0.85,0.3,0.55,37,6.5367414,6.9685773,-13.057868,0.9053498,0.85795675,1.5719687
